TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BKN,03/13/2018,BKN vs. TOR,L,240,102,35,86,40.7,15,36,41.7,17,19,89.5,9,29,38,21,9,6,11,19,-14
BKN,03/11/2018,BKN vs. PHI,L,242,97,33,85,38.8,10,28,35.7,21,24,87.5,13,29,42,17,5,5,18,19,-23
BKN,03/08/2018,BKN @ CHA,W,240,125,47,92,51.1,11,32,34.4,20,22,90.9,9,34,43,30,7,7,10,27,14
BKN,03/06/2018,BKN @ GSW,L,240,101,36,85,42.4,9,34,26.5,20,25,80,10,28,38,24,7,1,12,18,-13
BKN,03/04/2018,BKN @ LAC,L,240,120,40,92,43.5,19,45,42.2,21,23,91.3,13,31,44,30,8,4,14,21,-3
BKN,03/01/2018,BKN @ SAC,L,264,111,40,96,41.7,17,46,37,14,17,82.4,16,35,51,27,10,4,21,14,-4
BKN,02/27/2018,BKN @ CLE,L,240,123,44,82,53.7,12,32,37.5,23,30,76.7,3,33,36,29,6,0,12,21,-6
BKN,02/26/2018,BKN vs. CHI,W,239,104,40,90,44.4,16,42,38.1,8,8,100,7,41,48,31,4,9,15,20,17
BKN,02/22/2018,BKN @ CHA,L,239,96,36,93,38.7,14,43,32.6,10,14,71.4,11,30,41,27,6,8,9,23,-15
BKN,02/14/2018,BKN vs. IND,L,240,103,35,83,42.2,13,35,37.1,20,27,74.1,9,35,44,24,4,2,13,20,-5
BKN,02/12/2018,BKN vs. LAC,L,240,101,41,89,46.1,12,40,30,7,10,70,10,27,37,27,10,6,12,15,-13
BKN,02/10/2018,BKN vs. NOP,L,290,128,43,114,37.7,21,59,35.6,21,22,95.5,18,42,60,30,10,3,15,30,-10
BKN,02/07/2018,BKN @ DET,L,241,106,39,90,43.3,17,51,33.3,11,12,91.7,8,42,50,33,4,6,19,20,-9
BKN,02/06/2018,BKN vs. HOU,L,239,113,41,85,48.2,16,35,45.7,15,17,88.2,10,27,37,24,8,2,11,17,-10
BKN,02/04/2018,BKN vs. MIL,L,240,94,37,90,41.1,9,29,31,11,14,78.6,11,25,36,25,5,1,9,19,-15
BKN,02/02/2018,BKN vs. LAL,L,240,99,37,82,45.1,9,29,31,16,23,69.6,5,33,38,20,7,8,11,18,-3
BKN,01/31/2018,BKN vs. PHI,W,239,116,39,77,50.6,13,32,40.6,25,28,89.3,9,30,39,19,3,9,11,26,8
BKN,01/30/2018,BKN @ NYK,L,240,95,36,87,41.4,9,37,24.3,14,16,87.5,11,38,49,15,6,3,17,21,-16
BKN,01/27/2018,BKN @ MIN,L,240,97,38,82,46.3,9,30,30,12,15,80,11,32,43,22,3,7,15,19,-14
BKN,01/26/2018,BKN @ MIL,L,239,91,33,89,37.1,8,34,23.5,17,20,85,11,34,45,18,5,2,14,19,-25
BKN,01/23/2018,BKN @ OKC,L,240,108,37,79,46.8,16,38,42.1,18,25,72,8,37,45,27,1,5,12,25,-1
BKN,01/21/2018,BKN @ DET,W,240,101,37,80,46.3,13,31,41.9,14,20,70,7,39,46,23,1,3,15,18,1
BKN,01/19/2018,BKN vs. MIA,W,241,101,36,76,47.4,9,32,28.1,20,26,76.9,10,34,44,20,5,8,14,18,6
BKN,01/17/2018,BKN vs. SAS,L,238,95,35,83,42.2,13,36,36.1,12,18,66.7,6,41,47,23,3,1,14,28,-5
BKN,01/15/2018,BKN vs. NYK,L,239,104,32,87,36.8,11,32,34.4,29,36,80.6,11,34,45,16,5,3,11,23,-15
BKN,01/13/2018,BKN @ WAS,L,264,113,42,99,42.4,12,43,27.9,17,20,85,13,34,47,28,6,3,15,22,-6
BKN,01/12/2018,BKN @ ATL,W,240,110,40,87,46,13,34,38.2,17,26,65.4,13,30,43,29,8,1,14,24,5
BKN,04/09/2018,BKN vs. CHI,W,241,114,41,82,50,18,42,42.9,14,15,93.3,6,32,38,32,8,10,17,15,9
